OBJECTID,NAME,Obesity,Shape_Area,Shape_Length
1,Connecticut,33.0,error: precision too large.,4025416.097404873
2,California,33.1,error: precision too large.,error: precision too large.
3,Louisiana,32.3,695921515565.1765,4386390.41042622
4,California,34.2,error: precision too large.,345827.169522395
5,Michigan,24.8,error: precision too large.,4764660.891715441
6,Massachusetts,28.0,560712124230.3239,3528822.776400036
7,Kentucky,31.1,error: precision too large.,error: precision too large.
8,Pennsylvania,30.7,error: precision too large.,error: precision too large.
9,California,25.3,270257158824.1557,4157774.040823305
10,Tennessee,22.7,error: precision too large.,9149632.965910116
11,North Carolina,20.7,error: precision too large.,error: precision too large.
12,Alaska,34.8,error: precision too large.,error: precision too large.
13,Texas,25.1,error: precision too large.,error: precision too large.
14,Washington,34.2,error: precision too large.,5942123.063958115
15,Maryland,20.7,error: precision too large.,4965725.218138237
16,Illinois,28.8,error: precision too large.,773728.708186999
17,District of Columbia,30.3,error: precision too large.,7797845.342636107
18,New York,27.3,error: precision too large.,2633001.575839095
19,Colorado,26.1,error: precision too large.,636479.731487778
20,District of Columbia,20.5,error: precision too large.,4284378.42317502
21,California,25.5,error: precision too large.,error: precision too large.
22,Mississippi,32.7,972924283206.3726,7700984.954048475
23,Arizona,21.2,error: precision too large.,9410670.852094317
24,Kentucky,34.8,error: precision too large.,8689702.57166763
25,New Jersey,24.1,error: precision too large.,4127283.775148704
26,Florida,23.0,error: precision too large.,1244345.447277056
27,Ohio,25.6,error: precision too large.,2419608.976020083
28,Michigan,33.9,error: precision too large.,8780221.544557966
29,Arizona,34.7,error: precision too large.,7802361.557504404
30,Indiana,22.2,error: precision too large.,5633035.815776008
31,Georgia,24.7,error: precision too large.,4145619.963766566
32,Georgia,26.0,error: precision too large.,error: precision too large.
33,California,25.7,error: precision too large.,4529373.890943364
34,Texas,24.5,error: precision too large.,5963888.36379837
35,Florida,35.6,error: precision too large.,4838716.089902043
36,Mississippi,32.1,error: precision too large.,error: precision too large.
37,Florida,24.1,error: precision too large.,error: precision too large.
38,California,28.2,error: precision too large.,7240755.509965328
39,Massachusetts,28.9,error: precision too large.,9434174.656701693
40,North Carolina,33.2,error: precision too large.,1469383.114852111
41,Florida,34.4,error: precision too large.,5694727.246426466
42,Alabama,23.4,error: precision too large.,1909785.981604178
43,Washington,32.1,error: precision too large.,error: precision too large.
44,Texas,35.3,error: precision too large.,9323580.075400112
45,Florida,24.0,476970252901.0511,error: precision too large.
46,Connecticut,33.3,error: precision too large.,error: precision too large.
47,California,35.8,error: precision too large.,3045389.428048178
48,New York,24.5,error: precision too large.,2531126.876027798
49,Louisiana,33.1,error: precision too large.,error: precision too large.
50,California,20.5,error: precision too large.,error: precision too large.
51,Louisiana,24.9,397161202569.5339,error: precision too large.
52,Texas,29.2,error: precision too large.,error: precision too large.
53,District of Columbia,28.4,error: precision too large.,error: precision too large.
54,Colorado,32.2,error: precision too large.,2822926.46937512
55,Washington,26.4,error: precision too large.,error: precision too large.
56,Illinois,24.3,error: precision too large.,652347.72952384
57,Minnesota,34.8,error: precision too large.,5938834.126351899
58,Indiana,25.4,error: precision too large.,8323849.114249212
59,Pennsylvania,26.9,error: precision too large.,error: precision too large.
60,Georgia,21.3,error: precision too large.,5258726.03683571
61,Virginia,22.1,error: precision too large.,error: precision too large.
62,Tennessee,23.2,error: precision too large.,5528774.189347956
63,Texas,23.8,error: precision too large.,error: precision too large.
64,District of Columbia,33.8,error: precision too large.,469854.149149071
65,District of Columbia,32.4,error: precision too large.,5601418.63235691
66,Connecticut,23.7,error: precision too large.,error: precision too large.
67,Missouri,29.4,error: precision too large.,error: precision too large.
68,Texas,23.4,error: precision too large.,error: precision too large.
69,California,22.5,error: precision too large.,error: precision too large.
70,Louisiana,20.2,error: precision too large.,8427262.866669483
71,Iowa,33.5,error: precision too large.,2767686.052954984
72,Washington,20.1,error: precision too large.,6421745.919816321
73,Texas,30.0,error: precision too large.,6364432.981810306
74,Montana,20.9,error: precision too large.,error: precision too large.
75,Florida,28.1,error: precision too large.,error: precision too large.
76,California,32.7,error: precision too large.,error: precision too large.
77,California,22.9,479769159243.3964,9110274.825833669
78,California,20.7,error: precision too large.,4582636.092519052
79,Florida,33.7,error: precision too large.,9029730.308017602
80,Texas,26.1,error: precision too large.,4536522.263295378
