OBJECTID,NAME,Obesity,Shape__Area,Shape__Length
1,New York,35.4,1200365016291.21,13677846.51
2,California,23.4,624461867343.88,10656142.3
3,Washington,35.5,2164273256951.41,12369992.54
4,Iowa,34.8,2589326182834.66,6895962.24
5,New York,30.3,3982867118638.1,10792344.17
6,California,23.3,2483512415875.16,11315548.86
7,Kentucky,22.3,2202473395494.97,14418815.08
8,Ohio,35.1,593167263681.46,10752151.15
9,California,35.9,537012954455.58,6762052.85
10,Massachusetts,30.7,2088340434786.48,5085316.09
11,District of Columbia,21.9,1654541905734.34,12155812.45
12,Pennsylvania,28.1,1150693625614.53,8724542.83
13,Hawaii,21.6,1177855969579.87,13497094.69
14,Florida,35.5,1830652256901.43,7646383.9
15,California,27.8,2166880868601.95,5338682.59
16,Louisiana,24.9,2184256620824.28,13786738.33
17,California,27.4,579660389349.53,9830882.51
18,Colorado,34.2,3268624904085.23,7589826.16
19,Ohio,27.3,1483474937770.65,9953992.95
20,Arizona,32.9,3272757531669.23,12049050.89
21,California,21.4,2159007826503.95,11754600.26
22,Massachusetts,21.3,973149192920.02,5633333.65
23,Maryland,31.4,532806417383.7,10751246.39
24,Florida,21.7,2545681523268.98,13716087.72
25,Michigan,27.8,2111404220803.42,10312970.28
26,Colorado,33.8,2914636117780.28,5786575.75
27,Texas,21.9,1661848820038.04,10293075.81
28,Texas,28.2,1397129810519.85,5711231.87
29,California,22.5,2120610702244.17,7613579.98
30,South Carolina,35.3,1656968476345.91,13181609.96
31,Texas,34.9,3767865307262.7,6162989.18
32,Iowa,21.6,1728277457591.4,11942569.4
33,Illinois,28.7,4302272402484.48,10413557.69
34,Louisiana,30.1,2476858548015.82,11350427.77
35,Ohio,23.9,3172070481592.24,5663775.71
36,Alabama,32.8,3024518220412.35,8703200.42
37,Ohio,27.2,4205879530580.71,10403114.49
38,New York,33.0,2450633208717.08,9694206.71
39,California,22.5,2647371058264.94,11115881.15
40,Virginia,31.6,659064555130.99,12620201.25
41,Ohio,22.6,1382188553875.29,5837942.75
42,Kansas,20.8,3613858440790.5,6610154.66
43,Pennsylvania,31.6,784410101301.99,9033253.53
44,Wisconsin,30.0,3430440237504.43,7485260.97
45,District of Columbia,34.8,2766580242386.9,7834042.53
46,Texas,26.2,2200432777115.14,7099697.34
47,Tennessee,31.5,1153641175435.61,7252620.39
48,Ohio,35.1,1134099105479.86,12177861.02
49,Virginia,31.7,854705468179.43,9518222.16
50,Ohio,20.8,3631958143452.48,9684402.21
51,Nevada,31.1,2630937510678.03,11929199.86
52,Illinois,31.8,720179905940.32,5306490.13
